,k/d,assists
294,16.3,0.198
295,17.6,0.223
296,14.9,0.248
297,2.4,0.204
298,16.4,0.182
299,15.6,0.137
300,11,0.211
301,9.4,0.274
302,27.7,0.138
303,19,0.226
304,15.2,0.15
305,13.4,0.219
306,18.4,0.198
307,14.8,0.218
308,16,0.264
309,11.2,0.247
310,19.9,0.235
311,12.2,0.308
312,18.6,0.22
313,17.1,0.22
314,13.4,0.173
315,17.1,0.211
316,16.5,0.163
317,26.3,0.211
318,17.1,0.128
319,13.6,0.287
320,9.3,0.19
321,14.1,0.207
322,13.8,0.238
323,11.9,0.231
324,13.3,0.192
325,12.2,0.225
326,18.1,0.174
327,15.1,0.223
328,10.6,0.261
329,13.5,0.237
330,10.1,0.239
331,14.9,0.241
332,12.8,0.253
333,16.8,0.227
334,12.9,0.205
335,9.2,0.223
336,13,0.299
337,14.3,0.241
338,18,0.242
339,15.8,0.082
340,20,0.214
341,25,0.254
342,18.2,0.134
343,18.1,0.226
344,14.4,0.179
345,27.8,0.178
346,18.9,0.238
347,10.2,0.3
348,11.5,0.161
349,12.8,0.218
350,15.9,0.271
351,26.9,0.253
352,8.1,0.221
353,16.6,0.22
354,13.9,0.187
355,22.4,0.242
356,21.5,0.212
357,21.9,0.224
358,20.7,0.227
359,11.9,0.236
360,11.4,0.242
361,21.2,0.185
362,16.1,0.271
363,23.7,0.115
364,20.5,0.179
365,23.7,0.269
366,21.9,0.152
367,20.9,0.128
368,25.8,0.245
369,13.6,0.223
370,15.3,0.202
371,21,0.24
372,19.1,0.236
373,18.1,0.204
374,16.3,0.259
375,15.1,0.051
376,15.4,0.232
377,11.5,0.256
378,14.2,0.192
379,9.2,0.112
380,16.6,0.197
381,12.9,0.211
382,11.5,0.185
383,7.2,0.202
384,8.4,0.232
385,19.2,0.191
386,16.4,0.281
387,13,0.265
388,12,0.225
389,13.7,0.252
390,15.8,0.221
391,21,0.186
392,12.3,0.223
393,12.7,0.277
394,12.1,0.25
395,11.9,0.088
396,20.4,0.213
397,16.7,0.21
398,14.6,0.229
399,15.6,0.183
400,11.8,0.266
401,16,0.228
402,16,0.237
403,27.1,0.161
404,12.3,0.208
405,30,0.109
406,21.1,0.313
407,17.4,0.059
408,15.4,0.139
409,18.4,0.174
410,15.8,0.23
411,15.6,0.266
412,13.8,0.197
413,19.7,0.209
414,16.7,0.202
415,18,0.24
416,11.8,0.238
417,14.3,0.24
418,12.7,0.231
419,15.7,0.127
420,20.5,0.217
421,22.9,0.206
422,20,0.206
423,11,0.222
424,15.5,0.257
425,16.5,0.243
426,15.5,0.233
427,8.1,0.198
428,13.7,0.178
429,11.3,0.127
430,12.4,0.199
431,13.5,0.178
432,15,0.239
433,8.9,0.286
434,11.7,0.218
435,13.1,0.295
436,13.7,0.194
437,13.4,0.258
438,9.9,0.265
439,8.5,0.057
440,12.4,0.243
441,19.6,0.214
442,6.6,0.242
443,11.7,0.092
444,24.5,0.2
445,30.8,0.213
446,15.3,0.183
447,0,0.115
448,26.2,0.2
449,15.3,0.229
450,12.2,0.21
451,9.3,0.24
452,15.8,0.172
453,16.2,0.199
454,8.7,0.182
455,17.8,0.163
456,16.6,0.196
457,18,0.234
458,13,0.223
459,15,0.216
