,k/d,accuracy
239,0.177,0.29
240,0.235,0.5
241,0.225,1.67
242,0.189,1
243,0.19,1.21
244,0.247,1.25
245,0.254,0.85
246,0.094,0.48
247,0.24,1.09
248,0.235,0.71
249,0.264,0.66
250,0.282,1.26
251,0.242,0.74
252,0.274,0.71
253,0.286,1.09
254,0.237,1.05
255,0.238,1.53
256,0.264,1.24
257,0.239,1.12
258,0.444,1
259,0.215,0.38
260,0.256,1.14
261,0.214,0.89
262,0.188,1.5
263,0.184,1.5
264,0.222,0.67
265,0.236,0.65
266,0.23,1
267,0.195,1.19
268,0.183,1.32
269,0.251,0.74
270,0.246,1.05
271,0.224,1.06
272,0.243,1.05
273,0.185,1.8
274,0.202,1.29
275,0.2,0.84
276,0.267,1.28
277,0.225,1.06
278,0.206,0.75
279,0.142,0.43
280,0.281,0.95
281,0.207,0.7
282,0.184,0.52
283,0.25,0.89
284,0.174,0.79
285,0.278,1.3
286,0.208,1.24
287,0.218,1.32
288,0.213,1.74
289,0.196,1.29
290,0.243,1.06
291,0.23,1.17
292,0.215,1.27
293,0.144,0.59
294,0.198,1.2
295,0.223,0.91
296,0.248,0.57
297,0.204,0.14
298,0.182,0.86
299,0.137,0.25
300,0.211,1
301,0.274,1.75
302,0.138,0.5
303,0.226,3.33
304,0.15,2.25
305,0.219,0.72
306,0.198,0.56
307,0.218,0.9
308,0.264,1.09
309,0.247,1.35
310,0.235,0.82
311,0.308,1.14
312,0.22,1.61
313,0.22,2.17
314,0.173,0.5
315,0.211,0.5
316,0.163,1
317,0.211,1.12
318,0.128,0.38
319,0.287,1.43
320,0.19,1.67
321,0.207,1.09
322,0.238,1.4
323,0.231,1
324,0.192,0.86
325,0.225,1.22
326,0.174,0.61
327,0.223,1
328,0.261,0.89
329,0.237,0.92
330,0.239,0.88
331,0.241,1.33
332,0.253,0.96
333,0.227,1.17
334,0.205,0.75
335,0.223,0.89
336,0.299,1.15
337,0.241,1.15
338,0.242,1.15
339,0.082,0.68
340,0.214,0.57
341,0.254,2.07
342,0.134,0.62
343,0.226,1
344,0.179,1.16
345,0.178,0.5
346,0.238,0.86
347,0.3,1.12
348,0.161,0.67
349,0.218,1.14
350,0.271,1.25
351,0.253,2
352,0.221,1
353,0.22,0.9
354,0.187,0.71
355,0.242,0.74
356,0.212,0.7
357,0.224,1.46
358,0.227,1.47
359,0.236,1.31
360,0.242,1
361,0.185,0.71
362,0.271,1.6
363,0.115,1
364,0.179,1.4
365,0.269,0.67
366,0.152,1.33
367,0.128,0.67
368,0.245,0.88
369,0.223,0.68
370,0.202,0.72
371,0.24,0.77
372,0.236,1
373,0.204,1.56
374,0.259,1.18
375,0.051,1.1
376,0.232,1.29
377,0.256,1.14
378,0.192,1.6
379,0.112,0.5
380,0.197,2.17
381,0.211,0.75
382,0.185,0.78
383,0.202,1.33
384,0.232,0.14
385,0.191,1.04
386,0.281,1.32
387,0.265,1.08
388,0.225,1.33
389,0.252,1.26
390,0.221,0.48
391,0.186,0.64
392,0.223,1
393,0.277,1.35
394,0.25,1.32
395,0.088,1.36
396,0.213,1.75
397,0.21,0.81
398,0.229,0.77
399,0.183,0.53
400,0.266,0.68
401,0.228,2.2
402,0.237,0.67
403,0.161,0.5
404,0.208,2
405,0.109,0.38
406,0.313,1.5
407,0.059,1
408,0.139,0.43
409,0.174,1.47
410,0.23,1.5
411,0.266,0.92
412,0.197,1
413,0.209,0.75
414,0.202,0.54
415,0.24,1.17
416,0.238,0.88
417,0.24,0.7
418,0.231,0.68
419,0.127,1.64
420,0.217,0.81
421,0.206,0.61
422,0.206,1.5
423,0.222,0.85
424,0.257,1.67
425,0.243,2.25
426,0.233,2
427,0.198,1
428,0.178,2.57
429,0.127,0.53
430,0.199,0.71
431,0.178,0.47
432,0.239,0.53
433,0.286,0.96
434,0.218,1
435,0.295,1.28
436,0.194,1.19
437,0.258,1
438,0.265,1.08
439,0.057,0.65
440,0.243,0.92
441,0.214,4
442,0.242,1.5
443,0.092,1.5
444,0.2,0.6
445,0.213,0.57
446,0.183,1
447,0.115,0
448,0.2,0.71
449,0.229,2.5
450,0.21,0.38
451,0.24,2
452,0.172,1.33
453,0.199,1.67
454,0.182,0.86
455,0.163,0.5
456,0.196,0.22
457,0.234,0.81
458,0.223,1.53
459,0.216,0.79
460,0.223,0.95
461,0.179,0.77
462,0.271,1.07
463,0.06,1.13
464,0.209,1.06
465,0.24,0.67
466,0.187,0.47
467,0.187,0.61
468,0.169,0.71
469,0.266,1.83
470,0.22,1.36
471,0.214,1.73
472,0.217,1.62
473,0.242,0.79
474,0.249,1.19
475,0.264,1.42
476,0.29,2.18
477,0.206,0.69
478,0.24,1
479,0.202,0.79
480,0.219,0.53
481,0.189,2.33
482,0.19,3
483,0.289,0.5
484,0.266,2.5
485,0.153,0.33
486,0.243,1.33
487,0.018,0.4
488,0.274,0.29
489,0.328,0.57
490,0.195,0.43
491,0.158,0.57
492,0.205,0.75
493,0.232,1.6
494,0.138,0.33
495,0.234,3
496,0.318,3.33
497,0.207,0.6
498,0.22,0.84
499,0.182,0.79
500,0.169,0.3
501,0.256,2.45
502,0.281,1.73
503,0.182,1.14
504,0.249,1.15
505,0.209,0.77
506,0.256,1
507,0.174,0.56
508,0.247,0.79
509,0.207,1.6
510,0.261,0.87
511,0.279,1.09
512,0.296,1.7
513,0.206,1.67
514,0.215,1.14
515,0.234,0.89
516,0.166,0.5
517,0.192,1.14
518,0.213,1
519,0.199,0.78
520,0.245,1.14
521,0.219,1
522,0.168,1.36
523,0.217,1.53
524,0.233,1.18
525,0.213,0.75
526,0.236,0.78
527,0.196,1
528,0.132,0.68
529,0.247,0.96
530,0.17,0.66
531,0.188,0.67
532,0.254,0.71
533,0.24,1
534,0.285,2.39
535,0.227,1.08
536,0.273,1.14
537,0.221,0.65
538,0.226,0.65
539,0.182,0.61
540,0.231,1.16
541,0.185,1.31
542,0.251,1.56
543,0.251,1.27
544,0.272,1.24
545,0.233,0.79
546,0.227,1.85
547,0.254,2.08
548,0.2,1.45
549,0.166,0.71
550,0.192,0.33
551,0.237,0.67
552,0.315,1.05
553,0.245,0.89
554,0.168,0.5
555,0.222,0.62
556,0.287,1.12
557,0.257,2.17
558,0.169,0.33
559,0.236,3
560,0.226,0.33
561,0.225,2.5
562,0.251,2
563,0.149,0.43
564,0.15,0.44
565,0.179,1
566,0.183,0.75
567,0.174,1
568,0.25,0.56
569,0.156,0.67
570,0.173,0.6
571,0.215,1.08
572,0.22,1.17
573,0.283,0.88
574,0.251,1.27
575,0.23,1.27
576,0.178,1.21
577,0.266,1
578,0.222,1.29
579,0.261,0.88
580,0.213,0.89
581,0.219,1
582,0.223,1
583,0.209,1
584,0.23,0.88
585,0.246,1
586,0.258,1.26
587,0.254,1.2
588,0.172,0.54
589,0.245,1.16
590,0.191,0.77
591,0.217,0.96
592,0.228,1.21
593,0.228,0.86
594,0.271,0.77
595,0.235,0.87
596,0.224,0.72
597,0.245,1.56
598,0.235,1.14
599,0.257,1.21
600,0.281,1.14
601,0.253,1.52
602,0.24,0.95
603,0.25,1.4
604,0.215,1.08
605,0.248,0.96
606,0.225,0.61
607,0.257,0.74
608,0.245,0.89
609,0.252,1.36
610,0.166,1.12
611,0.2,0.89
612,0.25,1
613,0.216,1.04
614,0.222,0.85
615,0.223,0.8
616,0.182,1.04
617,0.21,0.71
618,0.201,1.17
619,0.216,0.29
620,0.143,0.25
621,0.212,2.33
622,0.134,0.8
623,0.191,1.5
624,0.282,2.75
625,0.205,0.88
626,0.221,0.91
627,0.203,1.11
628,0.198,1.38
629,0.24,0.77
630,0.229,0.9
631,0.212,1.07
632,0.222,1.09
633,0.193,1.33
634,0.144,1
635,0.22,1.67
636,0.211,1.29
637,0.239,0.5
638,0.152,1.25
639,0.28,1.12
640,0.083,0.33
641,0.21,0.66
642,0.276,1.38
643,0.247,0.82
644,0.193,0.61
645,0.244,1.45
646,0.207,0.86
647,0.205,1.39
648,0.221,1.09
649,0.18,0.83
650,0.162,1
651,0.18,0.71
652,0.154,0.12
653,0.202,1.75
654,0.198,1.8
655,0.206,1.2
656,0.163,1.25
657,0.191,0.89
658,0.23,2.17
659,0.225,1.8
660,0.215,0.93
661,0.238,0.59
662,0.091,0.7
663,0.255,0.9
664,0.241,0.67
665,0.259,0.67
666,0.259,1.67
667,0.202,1.22
668,0.183,0.86
669,0.263,0.94
670,0.18,1.1
671,0.193,0.73
672,0.255,1.06
673,0.168,1.17
674,0.247,0.43
675,0.203,0
676,0.26,1.75
677,0.174,0.8
678,0.14,2
679,0.212,1.5
680,0.245,1.4
681,0.248,0.75
682,0.285,0.56
683,0.189,0.8
684,0.186,1.71
685,0.233,0.57
686,0.208,0.6
687,0.29,2
688,0.268,1.5
689,0.197,0.83
690,0.23,1.19
691,0.272,1.33
692,0.243,1.05
693,0.229,0.63
694,0.089,0.96
695,0.241,0.88
696,0.27,1.22
697,0.21,0.79
698,0.211,1.21
699,0.194,0.52
700,0.228,0.83
701,0.228,1.05
702,0.098,1.26
703,0.241,1.14
704,0.234,1.45
705,0.238,1.07
706,0.221,1.23
707,0.233,1.04
708,0.238,1.13
709,0.194,0.71
710,0.227,1.1
711,0.231,0.94
712,0.257,0.87
713,0.261,1
714,0.221,1
715,0.268,1.39
716,0.209,1.46
717,0.216,1.06
718,0.189,0.94
719,0.236,0.5
720,0.266,0.94
721,0.212,1.5
722,0.163,1.12
723,0.25,0.43
724,0.228,1.29
725,0.192,1
726,0.064,0.44
727,0.221,0.75
728,0.22,1.8
729,0.211,0.72
730,0.213,0.94
731,0.199,0.88
732,0.183,0.29
733,0.209,1.42
734,0.238,2
735,0.243,1.07
736,0.288,1.58
737,0.198,0.52
738,0.215,0.89
739,0.197,0.6
740,0.196,1.27
741,0.215,0.71
742,0.256,1.27
743,0.202,1.47
744,0.257,1.91
745,0.255,1.14
746,0.2,0.82
747,0.201,1.05
748,0.198,1.58
749,0.229,1.25
750,0.158,0.72
751,0.185,0.65
752,0.234,1
753,0.209,1.11
754,0.208,0.73
755,0.244,0.67
756,0.222,1
757,0.243,1.06
758,0.246,1.77
759,0.232,0.65
760,0.249,1.53
761,0.195,0.33
762,0.164,0.33
763,0.294,0.4
764,0.137,0.17
765,0.192,0.8
766,0.259,4
767,0.23,5
768,0.292,10
769,0.263,1.6
770,0.228,1
771,0.19,2.25
772,0.236,2
773,0.193,0.75
774,0.184,0.14
775,0.265,1.5
776,0.137,0.14
777,0.341,2
778,0.215,0.67
779,0.263,1.33
780,0.265,1.17
781,0.251,1.43
782,0.162,0.38
783,0.199,0.83
784,0.188,0.5
785,0.143,0.57
786,0.176,0.86
787,0.19,0.57
788,0.167,0.5
789,0.29,1.8
790,0.208,0.6
791,0.299,2.25
792,0.222,2
793,0.248,0.62
794,0.199,0.67
795,0.231,1.13
796,0.213,1.05
797,0.259,1.21
798,0.256,1.05
799,0.239,1.04
800,0.274,1.35
801,0.292,1.22
802,0.291,1
803,0.203,1.13
804,0.229,1.4
805,0.239,0.71
806,0.217,1.13
807,0.219,0.86
808,0.235,0.74
809,0.243,1
810,0.253,0.92
811,0.195,0.41
812,0.206,0.83
813,0.247,1.32
814,0.183,0.7
815,0.27,1.94
816,0.291,1.23
817,0.189,0.81
818,0.208,0.69
819,0.279,1.43
820,0.211,1
821,0.204,0.85
822,0.231,1.13
823,0.278,1.1
824,0.226,1.09
825,0.211,0.45
826,0.182,0.44
827,0.215,0.38
828,0.154,0.63
829,0.277,3
830,0.182,1.8
831,0.227,2.88
832,0.23,1.18
833,0.225,0.87
834,0.165,0.58
835,0.2,0.84
836,0.266,1.3
837,0.256,1
838,0.206,1.44
839,0.217,1
840,0.268,1.16
841,0.211,2.67
842,0.206,1.2
843,0.27,2.3
844,0.233,2.75
845,0.137,0.33
846,0.206,0.38
847,0.172,0.71
848,0.213,0.5
849,0.235,1.12
850,0.197,1.05
851,0.242,1.32
852,0.217,1.78
853,0.248,0.83
854,0.191,0.69
855,0.238,0.85
856,0.183,0.7
857,0.235,0.5
858,0.23,0.57
859,0.171,2
860,0.169,3.5
861,0.193,0.6
862,0.243,0.88
863,0.215,0.86
864,0.168,0.67
865,0.081,0
866,0.255,1.8
867,0.257,1.38
868,0.219,1.71
869,0.106,0.25
870,0.17,0.44
871,0.252,1.83
872,0.256,1.11
873,0.257,1.16
874,0.256,0.89
875,0.213,0.77
876,0.268,1.73
877,0.281,1.32
878,0.253,0.55
879,0.246,1
880,0.236,0.79
881,0.218,0.96
882,0.282,1.36
883,0.256,1.33
884,0.224,0.64
885,0.207,0.97
886,0.219,1.19
887,0.215,1.29
888,0.242,0.47
889,0.25,1
890,0.131,0.5
891,0.371,1.8
892,0.192,0.56
893,0.218,1.4
894,0.177,1
895,0.21,1.14
896,0.245,1.14
897,0.216,0.86
898,0.206,0.59
899,0.07,1.1
900,0.237,0.71
901,0.242,1.24
902,0.181,1.12
903,0.126,1.75
904,0.242,0.91
905,0.238,1.23
906,0.194,0.88
907,0.252,1.22
908,0.234,1.22
909,0.252,0.96
910,0.203,0.74
911,0.238,0.81
912,0.208,1.04
913,0.28,1.05
914,0.215,1
915,0.286,1.5
916,0.223,1.05
917,0.222,0.92
918,0.183,0.96
919,0.228,0.84
920,0.263,0.79
921,0.278,1.17
922,0.194,0.67
923,0.071,0.43
924,0.292,1
925,0.202,1.5
926,0.143,0.6
927,0.108,1.8
928,0.184,0.6
929,0.215,1.35
930,0.18,0.96
931,0.245,1.05
932,0.209,0.87
933,0.222,0.91
934,0.166,0.81
935,0.183,1.1
936,0.201,1.04
937,0.23,0.69
938,0.243,1.1
939,0.059,0.59
940,0.207,1.12
941,0.27,1
942,0.222,1.09
943,0.124,1.26
944,0.249,1.42
945,0.209,0.96
946,0.181,0.71
947,0.248,1.45
948,0.243,0.54
949,0.265,1.1
950,0.198,1.26
951,0.214,0.81
952,0.221,1.33
953,0.213,1
954,0.21,0.85
955,0.235,0.62
956,0.194,0.75
957,0.19,1.05
958,0.212,1.1
959,0.276,1
960,0.297,2
961,0.282,0.62
962,0.235,1
963,0.21,0.88
964,0.166,0.57
965,0.172,0.71
966,0.213,2
967,0.263,1.17
968,0.223,1.33
969,0.225,0.8
970,0.252,1.15
971,0.223,1.14
972,0.228,1.14
973,0.226,0.81
974,0.19,0.86
975,0.2,0.95
976,0.274,1.21
977,0.211,0.75
978,0.147,0.62
979,0.178,0.62
980,0.132,0.43
981,0.162,1.2
982,0.13,1.25
983,0.246,1.6
984,0.278,2.4
985,0.193,0.77
986,0.182,0.61
987,0.239,0.8
988,0.218,0.73
989,0.166,0.78
990,0.248,2.38
991,0.244,1.05
992,0.206,1.57
993,0.216,0.88
994,0.236,0.75
995,0.214,1.05
996,0.203,0.54
997,0.242,1.5
998,0.258,1.15
999,0.205,1.56
1000,0.229,1
1001,0.245,0.86
1002,0.181,1
1003,0.188,0.83
1004,0.138,0.38
1005,0.212,1.2
1006,0.197,1.6
1007,0.239,2
1008,0.197,0.67
1009,0.226,0.7
1010,0.244,1.08
1011,0.229,0.72
1012,0.197,0.84
1013,0.18,1
1014,0.24,1.14
1015,0.27,1.8
1016,0.276,0.95
1017,0.24,1.83
1018,0.171,0.57
1019,0.218,1.33
1020,0.128,0.57
1021,0.198,1.33
1022,0.19,1.14
1023,0.233,0.62
1024,0.223,0.83
1025,0.247,1.25
1026,0.262,1.53
1027,0.232,1.59
1028,0.24,0.83
1029,0.234,0.55
1030,0.171,1
1031,0.168,0.59
1032,0.246,1.04
1033,0.199,1.23
1034,0.197,0.65
1035,0.22,0.84
1036,0.261,0.87
1037,0.288,1.05
1038,0.287,1.5
1039,0.216,0.87
1040,0.229,1.1
1041,0.223,0.7
1042,0.269,0.6
1043,0.271,1.29
1044,0.244,0.22
1045,0.22,0.83
1046,0.153,0.57
1047,0.317,3.4
1048,0.217,1.67
1049,0.21,1.53
1050,0.251,0.7
1051,0.219,1.25
1052,0.205,0.8
1053,0.228,1.09
1054,0.21,1.09
1055,0.236,1.04
1056,0.192,0.78
1057,0.216,0.81
1058,0.232,0.95
1059,0.204,1.29
1060,0.259,1.05
1061,0.208,1.32
1062,0.24,0.74
1063,0.207,1.63
1064,0.231,0.44
1065,0.246,1
1066,0.256,1.47
1067,0.177,1.22
1068,0.211,1.16
1069,0.225,1.08
1070,0.143,0.86
1071,0.157,0.43
1072,0.245,0.88
1073,0.164,1.33
1074,0.106,0.5
1075,0.291,3
1076,0.209,1.4
1077,0.293,0.71
1078,0.227,0.43
1079,0.172,0.5
1080,0.241,0.86
1081,0.189,0.44
1082,0.176,0.5
1083,0.22,0.62
1084,0.217,2.33
1085,0.173,0.86
1086,0.151,0.88
1087,0.182,1.8
1088,0.143,1.29
1089,0.245,0.52
1090,0.24,0.86
1091,0.216,0.74
1092,0.273,0.96
1093,0.243,0.91
1094,0.32,2.06
1095,0.308,1
1096,0.242,1.45
1097,0.279,1.41
1098,0.198,1.1
1099,0.241,1.05
1100,0.235,1.77
1101,0.217,0.62
1102,0.176,0.68
1103,0.24,0.79
1104,0.252,0.96
1105,0.233,2.2
1106,0.145,0.93
1107,0.221,1.15
1108,0.23,0.89
1109,0.222,0.71
1110,0.202,0.9
1111,0.23,0.82
1112,0.197,0.74
1113,0.265,1.45
1114,0.268,1.05
1115,0.23,1.36
1116,0.229,1.13
1117,0.231,0.77
1118,0.097,0.79
1119,0.258,0.89
1120,0.249,0.77
1121,0.22,1
1122,0.221,1.6
1123,0.212,0.92
1124,0.288,1.09
1125,0.233,0.58
1126,0.213,1
1127,0.201,0.87
1128,0.218,1.17
1129,0.269,0.44
1130,0.212,0.71
1131,0.265,1
1132,0.19,3.75
1133,0.266,1.11
1134,0.206,0.67
1135,0.151,0.88
1136,0.238,0.83
1137,0.181,1.67
1138,0.13,0.71
1139,0.174,0.88
1140,0.179,0.89
1141,0.121,0.5
1142,0.148,0.88
1143,0.326,1
1144,0.194,1.83
1145,0.255,1.25
1146,0.267,1.61
1147,0.194,0.83
1148,0.21,0.86
1149,0.182,0.57
1150,0.144,1.16
1151,0.223,1.25
1152,0.255,0.64
1153,0.222,0.58
1154,0.201,1.3
1155,0.286,0.88
1156,0.212,1.5
1157,0.221,1
1158,0.218,0.81
1159,0.242,0.91
1160,0.269,1.14
1161,0.3,1.17
1162,0.209,1.09
1163,0.238,1.12
1164,0.253,1.33
1165,0.233,0.58
1166,0.22,1
1167,0.258,0.93
1168,0.241,0.92
1169,0.211,0.57
1170,0.203,1.06
1171,0.22,0.83
1172,0.205,0.68
1173,0.267,1.58
1174,0.214,1.41
1175,0.208,1.75
1176,0.259,0.74
1177,0.187,1.64
1178,0.215,1.56
1179,0.214,0.89
1180,0.201,1.35
1181,0.22,0.57
1182,0.216,1.17
1183,0.273,0.82
1184,0.245,0.54
1185,0.207,0.71
1186,0.214,0.83
1187,0.14,0.5
1188,0.242,1
1189,0.226,1.4
1190,0.184,1.2
1191,0.257,0.8
1192,0.283,2
1193,0.226,1.31
1194,0.23,1.4
1195,0.229,2.2
1196,0.288,1.19
1197,0.26,0.57
1198,0.204,0.72
1199,0.232,0.67
1200,0.193,0.81
1201,0.221,0.96
1202,0.213,0.88
1203,0.21,0.96
1204,0.233,1.19
1205,0.292,1.08
1206,0.207,0.68
1207,0.208,1.11
1208,0.24,1.14
1209,0.204,0.52
1210,0.216,0.91
1211,0.216,2.23
1212,0.203,1.29
1213,0.247,0.88
1214,0.217,0.81
1215,0.205,1.61
1216,0.253,0.58
1217,0.27,1.67
1218,0.101,0.38
1219,0.248,0.57
1220,0.223,0.57
1221,0.201,1.25
1222,0.195,3.5
1223,0.195,1
1224,0.193,0.43
1225,0.219,1.67
1226,0.172,0.14
1227,0.203,1
1228,0.17,0.25
1229,0.362,2.5
1230,0.23,1.17
1231,0.215,1.2
1232,0.184,1
1233,0.2,1.12
1234,0.223,1.67
1235,0.318,1
1236,0.216,2
1237,0.259,0.5
1238,0.224,0.86
1239,0.188,0.75
1240,0.13,0.88
1241,0.211,1
1242,0.207,0.52
1243,0.254,0.79
1244,0.254,1.1
1245,0.203,0.67
1246,0.235,1.09
1247,0.27,1.56
1248,0.256,1.56
1249,0.274,0.96
1250,0.267,1.35
1251,0.231,0.61
1252,0.264,1.14
1253,0.248,1.09
1254,0.23,0.73
1255,0.304,1.09
1256,0.252,1.18
1257,0.242,0.81
1258,0.203,0.66
1259,0.169,0.71
1260,0.195,0.79
1261,0.266,1.55
1262,0.209,1.5
1263,0.212,1.3
1264,0.232,1.05
1265,0.238,1.35
1266,0.208,0.64
1267,0.249,0.85
1268,0.191,0.95
1269,0.293,1.04
1270,0.233,1.05
1271,0.193,1
1272,0.209,1.2
1273,0.156,1.18
1274,0.166,0.75
1275,0.2,1.38
1276,0.248,1
1277,0.22,0.83
1278,0.218,1.45
1279,0.236,0.77
1280,0.213,0.76
1281,0.254,0.91
1282,0.25,1.63
1283,0.251,1.45
1284,0.252,1.74
1285,0.195,0.54
1286,0.218,1
1287,0.193,0.53
1288,0.221,0.81
1289,0.208,1.13
1290,0.212,1.06
1291,0.221,1.33
1292,0.198,0.95
1293,0.27,1.14
1294,0.19,0.72
1295,0.182,0.68
1296,0.22,1.04
1297,0.247,1
1298,0.204,0.43
1299,0.355,0.5
1300,0.164,0.57
1301,0.238,1.17
1302,0.348,3.67
1303,0.194,2
1304,0.25,0.5
1305,0.331,1
1306,0.209,0.88
1307,0.134,1
1308,0.254,0.56
1309,0.187,0.57
1310,0.278,1.5
1311,0.204,1.14
1312,0.161,1.5
1313,0.205,0.78
1314,0.272,1.61
1315,0.07,0.88
1316,0.239,1.72
1317,0.26,1
1318,0.182,0.73
1319,0.206,1.05
1320,0.217,0.62
1321,0.211,1.39
1322,0.224,1.79
1323,0.235,1.16
1324,0.181,0.62
1325,0.183,0.7
1326,0.22,1.09
1327,0.105,0.82
1328,0.186,0.8
1329,0.215,1.6
1330,0.224,0.57
1331,0.032,0.38
1332,0.178,0.86
1333,0.183,2
1334,0.191,1
1335,0.326,1
1336,0.227,1.33
1337,0.234,0.91
1338,0.22,0.58
1339,0.282,0.75
1340,0.236,0.86
1341,0.172,1.56
1342,0.221,1.65
1343,0.154,0.78
1344,0.237,1.18
1345,0.178,0.68
1346,0.241,0.95
1347,0.227,0.54
1348,0.212,0.71
1349,0.293,1.5
1350,0.226,1.28
1351,0.228,1.11
1352,0.249,2
1353,0.199,0.5
1354,0.169,0.33
1355,0.198,0.5
1356,0.182,0.43
1357,0.189,0.75
1358,0.256,3
1359,0.151,2.67
1360,0.188,2.67
1361,0.25,4.67
1362,0.205,1
1363,0.163,0.8
1364,0.18,0.5
1365,0.179,0.71
1366,0.215,0.83
1367,0.148,0.83
1368,0.189,0.5
1369,0.247,1.28
1370,0.223,1.05
1371,0.056,0.66
1372,0.259,0.63
1373,0.234,1.14
1374,0.227,1.23
1375,0.212,1.2
1376,0.214,1
1377,0.196,1.14
1378,0.215,1
1379,0.246,0.86
1380,0.153,0.83
1381,0.258,0.86
1382,0.253,1.4
1383,0.188,0.86
1384,0.225,1
1385,0.268,1.44
1386,0.217,0.84
